market-in-algiers,argenteuil-the-seine
distant-view-of-the-pyramids-1921,october-sundown-newport-1901
fuji-mountains-in-clear-weather-1831,distant-view-of-the-pyramids-1921
breakup-of-ice,senecio-1922
distant-view-of-the-pyramids-1921,charing-cross-bridge-overcast-weather
haystacks-at-giverny,argenteuil
houses-of-parliament,october-sundown-newport-1901
landscape-with-house-at-ceret-1913,irises-in-monet-s-garden-03
photograph-of-violin-and-checkerboard-1913,celia-thaxter-s-garden-appledore-isles-of-shoals
crystal-1921,senecio-1922
vaza-s-kvetinami-1914,sower-with-setting-sun-1888-3
a-man-in-a-cafe-1914,rio-dell-angelo-1902
three-trees-in-grey-weather,vase-with-daisies-and-anemones-1887
irises-1889,portrait-of-ambroise-vollard-1910
red-vineyards-at-arles-1888,the-seine-at-vetheuil
irises-in-monet-s-garden-03,sower-with-setting-sun-1888-3
photograph-of-violin-and-checkerboard-1913,interno-di-san-miniato-1861
grapes-1913,landscape-with-house-at-ceret-1913
the-seine-at-vetheuil-2,cheerful-forms-1914
